date,value,variance,ar1
2002-01-01,1698.0,4203.557971014494,-0.5172042748467184
2002-02-01,1829.0,4497.797101449277,-0.14094868639227287
2002-03-01,1642.0,5261.818840579711,-0.33921831881672954
2002-04-01,1592.0,5349.99275362319,-0.19501141600048227
2002-05-01,1764.0,6460.54891304348,-0.24758806108154852
2002-06-01,1717.0,6564.949275362319,-0.311176807850139
2002-07-01,1655.0,6309.826086956522,-0.23845619256354536
2002-08-01,1633.0,6117.797101449276,-0.20582869389194616
2002-09-01,1804.0,7194.41847826087,-0.2103839397095592
2002-10-01,1648.0,8317.853260869566,-0.32848035875456155
2002-11-01,1753.0,8740.86231884058,-0.3805252866573931
2002-12-01,1788.0,8733.623188405798,-0.3539824492111768
2003-01-01,1853.0,8719.041666666668,-0.35132205036574066
2003-02-01,1629.0,10989.36231884058,-0.3656992477776116
2003-03-01,1726.0,11311.710144927536,-0.3990477118067786
2003-04-01,1643.0,11493.326086956522,-0.41166924364099744
2003-05-01,1751.0,11877.73188405797,-0.428573995266333
2003-06-01,1867.0,12362.940217391304,-0.37370867564876475
2003-07-01,1897.0,12355.128623188404,-0.35624969869443657
2003-08-01,1833.0,12037.123188405796,-0.3735939225003783
2003-09-01,1939.0,12395.259057971014,-0.39269420653357445
2003-10-01,1967.0,12335.476449275362,-0.3795706767327211
2003-11-01,2083.0,12664.5634057971,-0.36417314501661513
2003-12-01,2057.0,12629.635869565218,-0.36117691969122784
2004-01-01,1911.0,13172.635869565218,-0.38460890267913966
2004-02-01,1846.0,12691.867753623188,-0.27387403722136283
2004-03-01,1998.0,11946.927536231884,-0.36651297060529875
2004-04-01,2003.0,11762.896739130434,-0.3397013947813992
2004-05-01,1981.0,10718.389492753624,-0.3194886396350442
2004-06-01,1828.0,11703.114130434782,-0.30301935985745393
2004-07-01,2002.0,12656.51992753623,-0.3816008557496448
2004-08-01,2024.0,12597.69384057971,-0.356751740439325
2004-09-01,1905.0,12200.51992753623,-0.28420181625536256
2004-10-01,2072.0,12047.797101449274,-0.29948204026600667
2004-11-01,1782.0,15549.128623188404,-0.4091763446746334
2004-12-01,2042.0,18319.644927536232,-0.5294868454182049
2005-01-01,2144.0,18551.766304347824,-0.42701018351256975
2005-02-01,2207.0,16090.949275362316,-0.39841565983217436
2005-03-01,1864.0,21367.760869565212,-0.36557478783118713
2005-04-01,2061.0,22473.55797101449,-0.42451718235092956
2005-05-01,2025.0,22203.29710144927,-0.4549098557698751
2005-06-01,2068.0,21761.461956521733,-0.46682378405594716
2005-07-01,2054.0,21759.389492753617,-0.46699274391063034
2005-08-01,2095.0,21574.688405797096,-0.46036088134317393
2005-09-01,2151.0,21265.449275362313,-0.4642994858732519
2005-10-01,2065.0,21616.949275362313,-0.4792918674420912
2005-11-01,2147.0,21334.23188405796,-0.48718867698845686
2005-12-01,1994.0,22322.853260869557,-0.5173783193055143
2006-01-01,2273.0,24550.253623188397,-0.5866698051670405
2006-02-01,2119.0,25500.0706521739,-0.6071644295158943
2006-03-01,1969.0,25607.30253623187,-0.5480876979507322
2006-04-01,1821.0,26500.079710144913,-0.49164732841557957
2006-05-01,1942.0,27172.85326086955,-0.5201111051939824
2006-06-01,1802.0,27008.775362318826,-0.5122926540729126
2006-07-01,1737.0,25750.128623188393,-0.5135621421912621
2006-08-01,1650.0,25931.992753623173,-0.5023890111988906
2006-09-01,1720.0,25720.737318840565,-0.4934607528909831
2006-10-01,1491.0,26238.693840579697,-0.46017862191692205
2006-11-01,1570.0,23383.623188405785,-0.39357127235243766
2006-12-01,1649.0,20517.461956521725,-0.4768254441681371
2007-01-01,1409.0,21870.592391304333,-0.5295675586074907
2007-02-01,1480.0,21938.389492753613,-0.5455390939452074
2007-03-01,1495.0,17543.809782608685,-0.45073305726112883
2007-04-01,1490.0,15513.563405797091,-0.4695938299176494
2007-05-01,1415.0,15618.340579710133,-0.47127052949813464
2007-06-01,1448.0,15563.014492753613,-0.4814362148768957
2007-07-01,1354.0,15747.362318840569,-0.49316240166030806
2007-08-01,1330.0,15526.809782608683,-0.5190353233516304
2007-09-01,1183.0,15692.666666666655,-0.5084455185871479
2007-10-01,1264.0,16191.548913043469,-0.5218619470262922
2007-11-01,1197.0,15621.73188405796,-0.5020050070779122
2007-12-01,1037.0,15692.809782608685,-0.4567460926331879
2008-01-01,1084.0,11502.519927536221,-0.44466384774885054
2008-02-01,1103.0,11178.144927536221,-0.475810172535013
2008-03-01,1005.0,10803.971014492743,-0.5581690404274074
2008-04-01,1013.0,10355.188405797091,-0.5320160964502216
2008-05-01,973.0,9269.896739130423,-0.49688414470092623
2008-06-01,1046.0,9315.043478260859,-0.5135929931382458
2008-07-01,923.0,9624.166666666655,-0.5485853903867294
2008-08-01,844.0,9589.905797101439,-0.5068427441099097
2008-09-01,820.0,9111.391304347815,-0.466405153853318
2008-10-01,777.0,7455.586956521729,-0.4044883689605272
2008-11-01,652.0,7260.45652173912,-0.5061593931986292
2008-12-01,560.0,6735.37499999999,-0.38319797106480985
2009-01-01,490.0,5062.476449275353,-0.24758029232041937
