year,ebi,entropy,top3_concentration,spectral_gap,episode,Bank credit_var,Bank credit_ar1,Housing starts_var,Housing starts_ar1,Credit spread_var,Credit spread_ar1,Consumer credit_var,Consumer credit_ar1,Fed funds rate_var,Fed funds rate_ar1,ebi_risk,spectral_risk,housing_var_risk,housing_ar1_risk,credit_var_risk,ecoecon_risk_score
2015,2.9635029670708803,3.632751607604968,0.1842263696568332,0.1389013657605279,2020 COVID (negative control),717.8419325213122,0.5908794809370267,11120.426781400956,-0.38622632570374343,0.0002831304430172197,-0.1308493544056779,81942861.36432146,-0.023462945556886966,0.00018239734299518132,-0.21573471766792487,1.0,0.8483857516344631,0.83204227469701,1.0000000000000002,0.0,0.7360856052662946
2016,2.964404437867971,3.582964062137143,0.1726390813700257,0.1248906382869202,2020 COVID (negative control),353.2672941661311,0.3515035092270336,12126.40881642511,-0.5335502278639063,0.001256309397407144,-0.20119545118812668,726907764.1348704,0.03059087509074544,0.0011152626811594298,0.4539313964332565,0.9946190892904418,1.0,1.0,0.49793874786405157,0.1685078083485218,0.7322131291006031
2017,3.07079637910921,3.643317737926181,0.1571428571428571,0.1830101667287695,2020 COVID (negative control),658.1282341772636,0.5292156196808602,10944.620923913033,-0.6796644301848085,0.002974287706288012,0.0561913745630186,655610601.699273,0.04029095583230781,0.0027453955314009695,0.35374599357438813,0.35956187181471577,0.37107129971164543,0.8026899096541251,0.0,0.4659790579208011,0.3998604278202575
2018,3.0755531960336873,3.6768004891338544,0.1635245901639344,0.2173009996127785,2020 COVID (negative control),569.169256068655,0.2519283634176974,8116.98596014492,-0.5883340829600091,0.004985959737097609,0.13299826759310132,17019464.507073097,0.06521015473275114,0.0038533816425120725,0.0667214105584298,0.3311682652609029,0.0,0.3305908860465201,0.3112422886806536,0.8143039405116395,0.3574610760999432
2019,3.131034235614105,3.672541826458625,0.1474476306691071,0.1919328540644903,2020 COVID (negative control),761.3142683555826,0.3675210781704825,6136.9133454106195,-0.44510762522571357,0.006058405570785275,0.25421738091378876,22451184.37797934,-0.18926357607240077,0.008079076086956521,0.07718613602434109,0.0,0.27451624670998553,0.0,0.7993399677042639,1.0,0.41477124288284983
2020,2.9618304246403384,3.604934199664213,0.1783954267691701,0.1733148922275103,2020 COVID (negative control),8893.24886624066,0.44799196936822216,15660.534722222212,0.09515765683945115,0.03443286982678274,0.0579188604896709,311562212.7160441,0.1300406586586413,0.050800739734299556,0.3640949872656636,1.0099834642516932,0.47598674817604025,1.5900540242329453,2.640495815615035,5.913093078383473,2.3259226261318373
2021,3.0080170647990827,3.640453548983299,0.1737246405357494,0.1747732007508782,2020 COVID (negative control),11637.66811432241,0.48983522414908803,24552.80736714975,0.014040258511725795,0.042246867450223026,0.004810891778062077,899719213.6293048,0.268156371782287,0.05174984903381647,0.35010335107109003,0.7342937941360077,0.46020595798709585,3.0746987139168636,2.3640579669205763,7.26610180101036,2.779871646794181
