date,value,variance,ar1
2002-01-01,1867418.69,41176756.67713069,0.35755031924474423
2002-02-01,1881905.37,40775383.618545406,0.3024991904295911
2002-03-01,1894690.33,40714437.83752221,0.29718115574681714
2002-04-01,1903957.99,40636261.20060469,0.298195411052657
2002-05-01,1914613.99,41045805.29524237,0.35220308166616027
2002-06-01,1927180.98,34264534.1555649,0.2823732156848005
2002-07-01,1939211.4,32095159.04947003,0.21678393469941443
2002-08-01,1947500.09,29185355.25895097,0.16459038427417608
2002-09-01,1950651.39,31368285.73319977,0.18187877404256472
2002-10-01,1957151.3,31761247.674011294,0.20713512496684647
2002-11-01,1965179.13,31035485.632895943,0.19407638384917883
2002-12-01,1972112.21,30514647.31978724,0.19478951619246276
2003-01-01,1982561.31,30285053.56164377,0.17525258393365514
2003-02-01,1993405.69,27163019.52272921,0.16247576175852435
2003-03-01,2001208.15,27265089.103369784,0.1535772491150851
2003-04-01,2014099.78,27343462.758074164,0.15090316579025997
2003-05-01,2027502.51,27615797.109711822,0.16709171703236256
2003-06-01,2033268.41,28404629.996875793,0.1524188897239064
2003-07-01,2040064.39,27744505.812364925,0.1662908606471723
2003-08-01,2049124.34,27739671.44493882,0.16719127774467304
2003-09-01,2057090.79,27725768.79038717,0.19562080178895042
2003-10-01,2065495.1,26459283.14593656,0.05149564864812348
2003-11-01,2066400.09,14208036.631654622,0.024020792331360633
2003-12-01,2077360.69,14354801.052350242,0.00544750113955892
2004-01-01,2088243.04,10673318.78827821,0.24441441426730162
2004-02-01,2095340.36,9552108.438391158,0.14936455385901334
2004-03-01,2109720.32,10197890.131325826,0.09129850382619266
2004-04-01,2112716.15,11668865.937727412,-0.05189826270889618
2004-05-01,2120839.15,11504988.730408568,-0.07123331564372137
2004-06-01,2127989.41,10855565.882112706,-0.13580571192252788
2004-07-01,2137092.98,10280133.65133826,-0.1444470115366917
2004-08-01,2143435.12,10430626.968221389,-0.1579426824514766
2004-09-01,2160148.3,12182752.580703711,-0.25715475564083895
2004-10-01,2176719.34,14456745.316701068,-0.010300341144342882
2004-11-01,2183746.35,14596024.4682626,-0.06574490144700229
2004-12-01,2192246.17,14402135.908753203,-0.05271585928795915
2005-01-01,2196777.63,15204199.541103924,-0.0499933857329528
2005-02-01,2211558.71,16506745.882390216,-0.11173789829160233
2005-03-01,2220199.19,16442203.91994456,-0.10311737781252375
2005-04-01,2232535.38,16273115.667666243,-0.15802504041226706
2005-05-01,2232671.52,18644560.208428275,-0.18801072745575712
2005-06-01,2247833.43,20049423.878164027,-0.30467345731024587
2005-07-01,2257230.94,19846354.62028485,-0.287490463786616
2005-08-01,2267044.88,19870785.904193,-0.2870664939679813
2005-09-01,2271633.28,20673358.13874284,-0.2898502680024336
2005-10-01,2276843.14,21247146.463022627,-0.274100990722357
2005-11-01,2283661.27,18641354.854276992,-0.2330049872116155
2005-12-01,2290928.13,18596987.014474858,-0.2333238120918304
2006-01-01,2367471.08,209561292.77938905,-0.14036669457733494
2006-02-01,2374977.32,209406925.8053399,-0.09742301930865319
