date,value,variance,ar1
2000-01-01,0.7189473684210527,0.03730858848712044,-0.12889984601022977
2000-02-01,0.5515,0.03835144993278265,-0.07043082051527717
2000-03-01,0.5021739130434782,0.03787927873058356,-0.07398128475382824
2000-04-01,0.6499999999999999,0.038521479673906525,-0.07536587936551947
2000-05-01,0.959047619047619,0.04242638318563707,-0.01915675019167575
2000-06-01,1.1036363636363637,0.043165230350980056,0.022572735753711368
2000-07-01,0.775,0.048123003737014315,-0.020876898331498715
2000-08-01,0.5990909090909091,0.04930707134615912,0.02731442532511085
2000-09-01,0.6775,0.049019896965287676,-0.03683172260438746
2000-10-01,0.67,0.040713985483847276,0.15168799256599325
2000-11-01,0.58,0.03467862447157667,0.13589445743487372
2000-12-01,0.7684210526315789,0.036204787705749066,0.10390676750143411
2001-01-01,0.550952380952381,0.03700313066277477,0.026423139432828605
2001-02-01,0.46421052631578946,0.03677372120873394,0.04912114993022882
2001-03-01,0.5395454545454546,0.03703245639963071,0.03942572704285241
2001-04-01,0.7510526315789473,0.03804059618965937,0.09441130181640861
2001-05-01,0.4847619047619047,0.03961525037530555,0.04396531035167922
2001-06-01,0.35,0.03994997640236471,0.06441722918269345
2001-07-01,0.23476190476190475,0.03923128788796226,0.07824956998512778
2001-08-01,0.205,0.03923380142356975,0.08061000296282626
2001-09-01,0.3464705882352941,0.0389998256241707,-0.01883589162453674
2001-10-01,0.2409090909090909,0.02988580687578973,0.13767868181237855
2001-11-01,0.23349999999999999,0.027226275794223074,0.11462649862365436
2001-12-01,0.23526315789473684,0.027068275899606673,0.09847016334969733
2002-01-01,0.1680952380952381,0.025610483776641893,0.05237138384921476
2002-02-01,0.17789473684210527,0.024692431226740637,0.04225794883444508
2002-03-01,0.20049999999999998,0.024696859097175786,0.05514755713037119
2002-04-01,0.25523809523809526,0.0237595749638601,-0.04390288586100201
2002-05-01,0.17857142857142858,0.019041296348065954,-0.20166631277164324
2002-06-01,0.1811111111111111,0.017694382073734652,-0.09181170898517868
